year,gdp_per_capita_yearly_growth,name,year_total_gdp,current_total_gdp,iso3166_1_alpha2,population_total,income_per_person,life_expectancy_at_birth,life_expectancy_years,yearly_co2_emissions_1000_tonnes,democracy_score_use_as_color,agriculture_percent_of_gdp,industry_percent_of_gdp,services_percent_of_gdp,agriculture_workers_percent_of_employment,industry_workers_percent_of_employment,service_workers_percent_of_employment,self_employed_percent_of_employment,electricity_generation_per_person,natural_gas_production_per_person,hydro_power_generation_per_person,nuclear_power_generation_per_person,oil_production_per_person,electricity_use_per_person,residential_electricity_use_per_person,working_hours_per_week,gdpperworking_hour_us_inflation_adjusted,latitude,longitude
1801,0.285,Brazil,2587000000,2907000000000,BR,3678743,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1802,0.285,Brazil,2623000000,2907000000000,BR,3718270,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1803,0.285,Brazil,2658000000,2907000000000,BR,3758222,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1804,0.285,Brazil,2695000000,2907000000000,BR,3798603,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1805,0.285,Brazil,2731000000,2907000000000,BR,3839418,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1806,0.285,Brazil,2769000000,2907000000000,BR,3880671,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1807,0.285,Brazil,2806000000,2907000000000,BR,3922368,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1808,0.285,Brazil,2844000000,2907000000000,BR,3964513,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1809,0.285,Brazil,2883000000,2907000000000,BR,4007110,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1810,0.285,Brazil,2923000000,2907000000000,BR,4058652,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1811,0.285,Brazil,2962000000,2907000000000,BR,4103367,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1812,0.285,Brazil,3003000000,2907000000000,BR,4149685,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1813,0.285,Brazil,3044000000,2907000000000,BR,4197643,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1814,0.285,Brazil,3085000000,2907000000000,BR,4247275,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1815,0.285,Brazil,3127000000,2907000000000,BR,4298619,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1816,0.285,Brazil,3170000000,2907000000000,BR,4351710,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1817,0.285,Brazil,3213000000,2907000000000,BR,4406588,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1818,0.285,Brazil,3257000000,2907000000000,BR,4463290,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1819,0.285,Brazil,3301000000,2907000000000,BR,4521855,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1820,0.285,Brazil,3346000000,2907000000000,BR,4582325,742.4,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1821,0.1975,Brazil,3406000000,2907000000000,BR,4644739,743.9,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1822,0.1975,Brazil,3467000000,2907000000000,BR,4709139,745.3,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1823,0.1975,Brazil,3529000000,2907000000000,BR,4775566,746.8,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1824,0.1975,Brazil,3592000000,2907000000000,BR,4844066,748.3,32,32,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1825,0.1975,Brazil,3656000000,2907000000000,BR,4914680,749.8,32,32,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1826,0.1975,Brazil,3722000000,2907000000000,BR,4987454,751.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1827,0.1975,Brazil,3789000000,2907000000000,BR,5062432,752.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1828,0.1975,Brazil,3856000000,2907000000000,BR,5139663,754.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1829,0.1975,Brazil,3925000000,2907000000000,BR,5219192,755.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1830,0.1975,Brazil,3996000000,2907000000000,BR,5301068,757.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1831,0.1975,Brazil,4067000000,2907000000000,BR,5385339,758.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1832,0.1975,Brazil,4140000000,2907000000000,BR,5470950,760.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1833,0.1975,Brazil,4214000000,2907000000000,BR,5557922,761.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1834,0.1975,Brazil,4290000000,2907000000000,BR,5646276,763.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1835,0.1975,Brazil,4366000000,2907000000000,BR,5736036,764.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1836,0.1975,Brazil,4445000000,2907000000000,BR,5827222,766.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1837,0.1975,Brazil,4524000000,2907000000000,BR,5919857,767.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1838,0.1975,Brazil,4605000000,2907000000000,BR,6013965,769.3,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1839,0.1975,Brazil,4688000000,2907000000000,BR,6109570,770.8,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1840,0.1975,Brazil,4772000000,2907000000000,BR,6206694,772.3,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1841,0.1975,Brazil,4857000000,2907000000000,BR,6305149,773.8,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1842,0.1975,Brazil,4944000000,2907000000000,BR,6404954,775.3,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1843,0.1975,Brazil,5033000000,2907000000000,BR,6506126,776.9,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1844,0.1975,Brazil,5123000000,2907000000000,BR,6608684,778.4,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1845,0.1975,Brazil,5214000000,2907000000000,BR,6712647,780,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1846,0.1975,Brazil,5308000000,2907000000000,BR,6818032,781.5,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1847,0.1975,Brazil,5403000000,2907000000000,BR,6924860,783,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1848,0.1975,Brazil,5499000000,2907000000000,BR,7033150,784.6,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1849,0.1975,Brazil,5598000000,2907000000000,BR,7142922,786.1,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1850,0.1975,Brazil,5698000000,2907000000000,BR,7254194,787.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1851,6.9,Brazil,6184000000,2907000000000,BR,7368030,842,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1852,-2.7,Brazil,6109000000,2907000000000,BR,7483439,819.3,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1853,-6.158,Brazil,5821000000,2907000000000,BR,7600444,768.9,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1854,-3.412,Brazil,5708000000,2907000000000,BR,7719066,742.6,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1855,0.9511,Brazil,5850000000,2907000000000,BR,7839327,749.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1856,3.634,Brazil,6156000000,2907000000000,BR,7961250,776.9,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1857,7.013,Brazil,6688000000,2907000000000,BR,8084856,831.4,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1858,6.432,Brazil,7227000000,2907000000000,BR,8210168,884.9,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1859,-0.7982,Brazil,7279000000,2907000000000,BR,8337210,877.8,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1860,2.644,Brazil,7585000000,2907000000000,BR,8466005,901,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1861,-0.8959,Brazil,7632000000,2907000000000,BR,8598165,893,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1862,-4.746,Brazil,7381000000,2907000000000,BR,8734010,850.6,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1863,2.254,Brazil,7663000000,2907000000000,BR,8873650,869.8,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1864,1.392,Brazil,7888000000,2907000000000,BR,9017150,881.9,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1865,7.437,Brazil,8604000000,2907000000000,BR,9164571,947.4,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1866,3.621,Brazil,9052000000,2907000000000,BR,9316068,981.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1867,8.325,Brazil,9956000000,2907000000000,BR,9471701,1063,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1868,0,Brazil,10110000000,2907000000000,BR,9631576,1063,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1869,0,Brazil,10260000000,2907000000000,BR,9795797,1063,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1870,-7.306,Brazil,9658000000,2907000000000,BR,9964419,985.8,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1871,0,Brazil,9838000000,2907000000000,BR,10137593,985.8,32,32,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1872,3.48,Brazil,10370000000,2907000000000,BR,10315418,1020,32.02,32.02,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1873,-2.967,Brazil,10250000000,2907000000000,BR,10479440,989.8,32.03,32.03,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1874,1.529,Brazil,10600000000,2907000000000,BR,10667073,1005,32.05,32.05,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1875,1.506,Brazil,10960000000,2907000000000,BR,10859847,1020,32.06,32.06,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1876,-3.759,Brazil,10750000000,2907000000000,BR,11057917,981.7,32.07,32.07,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1877,-2.775,Brazil,10650000000,2907000000000,BR,11246611,954.5,32.09,32.09,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1878,4.863,Brazil,11380000000,2907000000000,BR,11456866,1001,32.09,32.09,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1879,0.8065,Brazil,11680000000,2907000000000,BR,11673061,1009,32.1,32.1,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1880,-4.6,Brazil,11350000000,2907000000000,BR,11893392,962.6,32.12,32.12,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1881,0.8386,Brazil,11660000000,2907000000000,BR,12106746,970.6,32.13,32.13,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1882,2.391,Brazil,12160000000,2907000000000,BR,12335204,993.9,32.15,32.15,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1883,-2.741,Brazil,12050000000,2907000000000,BR,12568012,966.6,32.16,32.16,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1884,6.785,Brazil,13110000000,2907000000000,BR,12794883,1032,32.17,32.17,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1885,-7.136,Brazil,12400000000,2907000000000,BR,13042044,958.5,32.19,32.19,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1886,3.263,Brazil,13050000000,2907000000000,BR,13299634,989.8,32.2,32.2,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1887,-6.626,Brazil,12410000000,2907000000000,BR,13544187,924.2,32.22,32.22,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1888,-3.821,Brazil,12160000000,2907000000000,BR,13820466,888.9,32.23,32.23,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1889,1.362,Brazil,12560000000,2907000000000,BR,14109162,901,32.24,32.24,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1890,9.406,Brazil,14000000000,2907000000000,BR,14410739,985.8,32.26,32.26,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1891,6.244,Brazil,15230000000,2907000000000,BR,14725566,1047,32.27,32.27,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1892,-13.29,Brazil,13520000000,2907000000000,BR,15054108,908.1,32.29,32.29,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1893,-14.89,Brazil,11780000000,2907000000000,BR,15396826,772.9,32.3,32.3,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1894,0,Brazil,12060000000,2907000000000,BR,15754092,772.9,32.31,32.31,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1895,18.54,Brazil,14640000000,2907000000000,BR,16126463,916.2,32.33,32.33,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1896,-9.251,Brazil,13600000000,2907000000000,BR,16512388,831.4,32.34,32.34,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1897,-1.456,Brazil,13730000000,2907000000000,BR,16902996,819.3,32.35,32.35,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1898,2.34,Brazil,14380000000,2907000000000,BR,17298381,838.5,32.37,32.37,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1899,-1.805,Brazil,14460000000,2907000000000,BR,17698545,823.3,32.38,32.38,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1900,-3.799,Brazil,14240000000,2907000000000,BR,18103490,792.1,32.4,32.4,NA,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1901,12.76,Brazil,16430000000,2907000000000,BR,18513217,893.2,32.41,32.41,2104.858,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1902,-2.89,Brazil,16290000000,2907000000000,BR,18923954,867.3,32.42,32.42,2508.228,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1903,0.1957,Brazil,16670000000,2907000000000,BR,19341472,869,32.44,32.44,2442.222,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1904,-1.328,Brazil,16800000000,2907000000000,BR,19762800,857.5,32.45,32.45,2621.905,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1905,1.614,Brazil,17430000000,2907000000000,BR,20187717,871.3,32.47,32.47,2801.588,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1906,10.17,Brazil,19610000000,2907000000000,BR,20618800,959.9,32.48,32.48,3208.625,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1907,-0.8144,Brazil,19860000000,2907000000000,BR,21037526,952.1,32.49,32.49,3454.314,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1908,-5.294,Brazil,19210000000,2907000000000,BR,21486703,901.7,32.51,32.51,3597.327,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1909,7.756,Brazil,21140000000,2907000000000,BR,21945485,971.7,32.52,32.52,3611.995,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1910,0.8331,Brazil,21770000000,2907000000000,BR,22414075,979.8,32.54,32.54,4202.382,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1911,3.699,Brazil,23050000000,2907000000000,BR,22885956,1016,32.55,32.55,4609.419,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1912,4.478,Brazil,24590000000,2907000000000,BR,23374714,1061,32.56,32.56,5595.842,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1913,0.978,Brazil,25360000000,2907000000000,BR,23873698,1072,32.58,32.58,6039.549,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1914,-3.613,Brazil,24960000000,2907000000000,BR,24383583,1033,32.59,32.59,4110.707,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1915,-1.603,Brazil,25080000000,2907000000000,BR,24904038,1017,32.6,32.6,3146.286,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1916,-1.138,Brazil,25320000000,2907000000000,BR,25436078,1005,32.62,32.62,2882.262,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1917,7.397,Brazil,27770000000,2907000000000,BR,25979032,1079,32.63,32.63,2500.894,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1918,-4.421,Brazil,27110000000,2907000000000,BR,26528965,1032,27.54,27.54,2324.878,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1919,5.813,Brazil,29290000000,2907000000000,BR,27091549,1092,32.66,32.66,3072.946,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1920,10.47,Brazil,33050000000,2907000000000,BR,27660864,1206,32.67,32.67,3648.665,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1921,-0.1572,Brazil,33670000000,2907000000000,BR,28235225,1204,32.69,32.69,2893.263,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1922,5.887,Brazil,36390000000,2907000000000,BR,28814633,1275,32.7,32.7,3784.344,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1923,6.324,Brazil,39480000000,2907000000000,BR,29404809,1355,32.72,32.72,4620.42,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1924,-0.4125,Brazil,40120000000,2907000000000,BR,30007097,1350,32.74,32.74,5108.131,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1925,-2.052,Brazil,40100000000,2907000000000,BR,30621836,1322,32.75,32.75,5379.489,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1926,3.035,Brazil,42170000000,2907000000000,BR,31249023,1362,32.77,32.77,5482.165,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1927,8.808,Brazil,46820000000,2907000000000,BR,31888997,1482,32.78,32.78,6079.886,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1928,9.418,Brazil,52280000000,2907000000000,BR,32542093,1622,32.81,32.81,5933.206,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1929,-1.101,Brazil,52760000000,2907000000000,BR,33208649,1604,32.82,32.82,6351.244,-3,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1930,-3.974,Brazil,51710000000,2907000000000,BR,33888999,1540,32.83,32.83,5518.835,-4,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1931,-5.512,Brazil,49860000000,2907000000000,BR,34583145,1455,33.32,33.32,4173.046,-5,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1932,2.305,Brazil,52050000000,2907000000000,BR,35291423,1489,33.82,33.82,4173.046,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1933,7.038,Brazil,56850000000,2907000000000,BR,36014170,1594,34.3,34.3,4726.763,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1934,6.942,Brazil,62050000000,2907000000000,BR,36752057,1704,34.8,34.8,4627.754,-7,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
